Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"L2","2.7n","L_0201_0603Metric",101.900000,-133.400000,90.000000,top
"L2","2.7n","L_0201_0603Metric",179.000000,-133.400000,90.000000,top
"L2","2.7n","L_0201_0603Metric",153.300000,-133.400000,90.000000,top
"L2","2.7n","L_0201_0603Metric",127.600000,-133.400000,90.000000,top
"R1","5K1","C_0201_0603Metric",189.520000,-133.600000,0.000000,top
"R1","5K1","C_0201_0603Metric",112.420000,-133.600000,0.000000,top
"R1","5K1","C_0201_0603Metric",138.120000,-133.600000,0.000000,top
"R1","5K1","C_0201_0603Metric",163.820000,-133.600000,0.000000,top
"R2","5K1","C_0201_0603Metric",114.000000,-137.300000,90.000000,top
"R2","5K1","C_0201_0603Metric",139.700000,-137.300000,90.000000,top
"R2","5K1","C_0201_0603Metric",191.100000,-137.300000,90.000000,top
"R2","5K1","C_0201_0603Metric",165.400000,-137.300000,90.000000,top
"R3","22R","C_0201_0603Metric",186.800000,-141.800000,180.000000,top
"R3","22R","C_0201_0603Metric",135.400000,-141.800000,180.000000,top
"R3","22R","C_0201_0603Metric",161.100000,-141.800000,180.000000,top
"R3","22R","C_0201_0603Metric",109.700000,-141.800000,180.000000,top
"R4","22R","C_0201_0603Metric",108.200000,-141.800000,180.000000,top
"R4","22R","C_0201_0603Metric",185.300000,-141.800000,180.000000,top
"R4","22R","C_0201_0603Metric",159.600000,-141.800000,180.000000,top
"R4","22R","C_0201_0603Metric",133.900000,-141.800000,180.000000,top
"R7","1M","C_0201_0603Metric",152.500000,-140.420000,-90.000000,top
"R7","1M","C_0201_0603Metric",126.800000,-140.420000,-90.000000,top
"R7","1M","C_0201_0603Metric",101.100000,-140.420000,-90.000000,top
"R7","1M","C_0201_0603Metric",178.200000,-140.420000,-90.000000,top
"R8","1M","C_0201_0603Metric",138.300000,-139.300000,180.000000,top
"R8","1M","C_0201_0603Metric",164.000000,-139.300000,180.000000,top
"R8","1M","C_0201_0603Metric",189.700000,-139.300000,180.000000,top
"R8","1M","C_0201_0603Metric",112.600000,-139.300000,180.000000,top
"R9","1M","C_0201_0603Metric",162.300000,-138.900000,90.000000,top
"R9","1M","C_0201_0603Metric",188.000000,-138.900000,90.000000,top
"R9","1M","C_0201_0603Metric",136.600000,-138.900000,90.000000,top
"R9","1M","C_0201_0603Metric",110.900000,-138.900000,90.000000,top
"R10","1M","C_0201_0603Metric",111.200000,-137.800000,0.000000,top
"R10","1M","C_0201_0603Metric",162.600000,-137.800000,0.000000,top
"R10","1M","C_0201_0603Metric",188.300000,-137.800000,0.000000,top
"R10","1M","C_0201_0603Metric",136.900000,-137.800000,0.000000,top
"R11","1M","C_0201_0603Metric",189.700000,-138.500000,0.000000,top
"R11","1M","C_0201_0603Metric",164.000000,-138.500000,0.000000,top
"R11","1M","C_0201_0603Metric",138.300000,-138.500000,0.000000,top
"R11","1M","C_0201_0603Metric",112.600000,-138.500000,0.000000,top
"R13","680K","C_0201_0603Metric",162.200000,-132.170000,-90.000000,top
"R13","680K","C_0201_0603Metric",136.500000,-132.170000,-90.000000,top
"R13","680K","C_0201_0603Metric",187.900000,-132.170000,-90.000000,top
"R13","680K","C_0201_0603Metric",110.800000,-132.170000,-90.000000,top
"R14","1M","C_0201_0603Metric",187.200000,-132.170000,90.000000,top
"R14","1M","C_0201_0603Metric",135.800000,-132.170000,90.000000,top
"R14","1M","C_0201_0603Metric",110.100000,-132.170000,90.000000,top
"R14","1M","C_0201_0603Metric",161.500000,-132.170000,90.000000,top
"R15","10K","R_0201_0603Metric",127.600000,-138.100000,90.000000,top
"R15","10K","R_0201_0603Metric",179.000000,-138.100000,90.000000,top
"R15","10K","R_0201_0603Metric",153.300000,-138.100000,90.000000,top
"R15","10K","R_0201_0603Metric",101.900000,-138.100000,90.000000,top
"SW1","SW_Push","SW_SPST_EVQP7C",168.300000,-136.300000,90.000000,top
"SW1","SW_Push","SW_SPST_EVQP7C",142.600000,-136.300000,90.000000,top
"SW1","SW_Push","SW_SPST_EVQP7C",116.900000,-136.300000,90.000000,top
"SW1","SW_Push","SW_SPST_EVQP7C",194.000000,-136.300000,90.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",157.800000,-137.170000,0.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",183.500000,-137.170000,0.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",132.100000,-137.170000,0.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",106.400000,-137.170000,0.000000,top
"U5","LSM6DSV320X","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",163.400000,-135.700000,90.000000,top
"U5","LSM6DSV320X","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",112.000000,-135.700000,90.000000,top
"U5","LSM6DSV320X","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",137.700000,-135.700000,90.000000,top
"U5","LSM6DSV320X","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",189.100000,-135.700000,90.000000,top
"Y1","ECS-400-10-37B2-CKY-TR","Crystal_SMD_2016-4Pin_2.0x1.6mm",183.400000,-131.470000,180.000000,top
"Y1","ECS-400-10-37B2-CKY-TR","Crystal_SMD_2016-4Pin_2.0x1.6mm",157.700000,-131.470000,180.000000,top
"Y1","ECS-400-10-37B2-CKY-TR","Crystal_SMD_2016-4Pin_2.0x1.6mm",106.300000,-131.470000,180.000000,top
"Y1","ECS-400-10-37B2-CKY-TR","Crystal_SMD_2016-4Pin_2.0x1.6mm",132.000000,-131.470000,180.000000,top
