Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C10","1u","C_0603_1608Metric",58.100000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",122.900000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",112.100000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",90.500000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",79.700000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",68.900000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",101.300000,-33.500000,0.000000,bottom
"C10","1u","C_0603_1608Metric",133.700000,-33.500000,0.000000,bottom
"D1","APA102-2020","LED-APA102-2020",85.100000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",95.900000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",74.300000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",117.500000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",128.300000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",52.700000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",63.500000,-151.000000,-90.000000,top
"D1","APA102-2020","LED-APA102-2020",106.700000,-151.000000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",95.900000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",85.100000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",117.500000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",106.700000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",52.700000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",128.300000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",63.500000,-147.900000,-90.000000,top
"D2","APA102-2020","LED-APA102-2020",74.300000,-147.900000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",128.300000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",106.700000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",117.500000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",85.100000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",52.700000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",63.500000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",74.300000,-144.800000,-90.000000,top
"D3","APA102-2020","LED-APA102-2020",95.900000,-144.800000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",95.900000,-141.700000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",52.700000,-141.700000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",74.300000,-141.700000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",106.700000,-141.700000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",63.500000,-141.700000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",128.300000,-141.700000,-90.000000,top
"D4","APA102-2020","LED-APA102-2020",117.500000,-141.700000,-90.000000,top
